Parameter,Estimate,SE
Bjj,-3.9571778,0.0034167
Bja,-4.776072,0.1562979
Baj,-13.3556751,-3.388903112
Baa,-12.4045617,0.0038213
Ias,6.2068671,0.5143879
r,-14.1439898,-2.501159082
SA_A,0.9961884,0.038962347
MAlr,-0.3985829,0.3223155
LAA,-13.3586416,-3.285162041
LAJ,-4.2524709,-0.178098418
gt,8.7624724,3.4448957
