Parameter,Estimate,SE
Bjj,-3.9528677,0.0035345
Bja,-4.7778503,0.1580638
Baj,-13.260181,-2.219387777
Baa,-12.4693461,-4.16327318
Ias,6.2752606,0.7453881
r,-13.7579429,-4.202040765
SA_A,0.9988685,0.034300408
MAlr,-0.4022023,0.3198753
LAA,-14.4976957,-3.826530621
LAJ,-4.2579119,0.182816837
gt,9.0644862,3.673469395
