,2.50%,97.50%
Bjj,-4.031356248,-3.875011752
Bja,-6.950842,-4.866434
Baj,-5.774788152,-5.261929848
Baa,-5.000556724,-4.979577276
SA_A,1.090765324,1.462726676
LAA,-4.471450992,-4.306575008
LAJ,-4.8764514,-4.3780626
